product_id,product_name,category,subcategory,brand,list_price,unit_cost,avg_rating,launch_date,expected_return_rate,is_active,margin_pct
P1045,PeakForm Air Jacket,Fashion,Outerwear,PeakForm,131.39,68.88,3.6,2024-07-15,0.14,True,0.47575919019712304
P1046,UrbanWeave Mini Jacket,Fashion,Outerwear,UrbanWeave,44.66,24.22,4.9,2023-03-10,0.14,True,0.45768025078369906
P1047,UrbanWeave Prime Jacket,Fashion,Outerwear,UrbanWeave,40.46,18.33,3.8,2024-03-03,0.14,True,0.5469599604547702
P1048,Northline Elite Leggings,Fashion,Activewear,Northline,84.31,38.33,4.3,2024-02-15,0.14,True,0.5453682837148619
P1049,UrbanWeave Prime Trainers,Fashion,Footwear,UrbanWeave,41.8,22.36,3.9,2024-12-20,0.14,True,0.4650717703349282
P1050,PeakForm Plus Tee,Fashion,Basics,PeakForm,43.72,22.11,4.1,2023-09-18,0.14,True,0.49428179322964316
P1051,UrbanWeave Prime Leggings,Fashion,Activewear,UrbanWeave,33.14,13.97,4.9,2024-02-05,0.14,True,0.5784550392275196
P1052,Threadmark Core Jacket,Fashion,Outerwear,Threadmark,115.81,45.5,4.9,2023-08-27,0.14,True,0.6071151023227701
P1053,Threadmark Ultra Leggings,Fashion,Activewear,Threadmark,115.33,59.06,4.2,2024-03-15,0.14,True,0.4879042746900199
P1054,Northline Elite Leggings,Fashion,Activewear,Northline,35.66,21.8,4.6,2023-04-15,0.14,True,0.3886707795849691
P1055,Mist & Muse Lite Hair Oil,Beauty,Haircare,Mist & Muse,45.52,18.29,4.5,2023-09-23,0.03,True,0.5981985940246046
P1056,Mist & Muse Mini Brush Set,Beauty,Tools,Mist & Muse,25.17,12.28,4.7,2023-07-18,0.03,True,0.5121176003178387
P1057,GlowLab Max Hair Oil,Beauty,Haircare,GlowLab,67.45,30.02,4.9,2023-05-20,0.03,True,0.5549295774647888
P1058,GlowLab Elite Brush Set,Beauty,Tools,GlowLab,18.01,6.75,3.9,2024-12-12,0.03,True,0.6252082176568573
P1059,GlowLab Max Mist,Beauty,Fragrance,GlowLab,63.14,32.04,4.1,2024-03-10,0.03,True,0.49255622426354134
P1060,Verde Go Serum,Beauty,Skincare,Verde,35.13,15.31,4.4,2024-12-20,0.03,True,0.5641901508682038
P1061,Mist & Muse Core Hair Oil,Beauty,Haircare,Mist & Muse,63.08,31.69,4.2,2024-08-07,0.03,True,0.4976220672162333
P1062,Verde Flex Hair Oil,Beauty,Haircare,Verde,19.5,10.77,4.7,2023-08-15,0.03,True,0.4476923076923077
P1063,Serein Essential Hair Oil,Beauty,Haircare,Serein,64.58,31.44,4.4,2024-05-11,0.03,True,0.5131619696500465
P1064,Verde Elite Hair Oil,Beauty,Haircare,Verde,56.06,20.47,4.9,2023-06-28,0.03,True,0.6348555119514806
P1065,GlowLab Go Brush Set,Beauty,Tools,GlowLab,37.2,21.18,4.4,2024-01-19,0.03,True,0.43064516129032265
P1066,Mist & Muse Air Serum,Beauty,Skincare,Mist & Muse,63.01,23.03,4.8,2025-01-19,0.03,True,0.6345024599269957
P1067,GlowLab Elite Serum,Beauty,Skincare,GlowLab,71.43,20.63,3.9,2024-03-05,0.03,True,0.7111857762844744
P1068,Verde Go Serum,Beauty,Skincare,Verde,61.02,25.09,4.2,2023-10-20,0.03,True,0.5888233366109473
P1069,Verde Plus Brush Set,Beauty,Tools,Verde,85.45,33.05,4.1,2023-05-12,0.03,True,0.6132241076653014
P1070,Serein Go Hair Oil,Beauty,Haircare,Serein,45.38,17.71,4.2,2023-01-15,0.03,True,0.6097399735566329
P1071,Summit Elite Water Bottle,Sports,Hydration,Summit,38.97,24.03,4.1,2024-05-16,0.07,True,0.3833718244803695
P1072,MotionLab Elite Daypack,Sports,Outdoor,MotionLab,159.25,98.34,4.4,2023-07-15,0.07,True,0.38248037676609103
P1073,MotionLab Flex Water Bottle,Sports,Hydration,MotionLab,55.31,25.06,4.0,2023-03-14,0.07,True,0.546917374796601
P1074,CoreOne Lite Massage Roller,Sports,Recovery,CoreOne,22.23,15.27,4.0,2024-09-17,0.07,True,0.31309041835357626
P1075,CoreOne Studio Water Bottle,Sports,Hydration,CoreOne,24.59,12.82,4.6,2023-04-25,0.07,True,0.47864985766571777
P1076,CoreOne Studio Massage Roller,Sports,Recovery,CoreOne,87.28,60.96,4.2,2024-02-09,0.07,True,0.3015582034830431
P1077,Summit Mini Daypack,Sports,Outdoor,Summit,15.92,10.85,4.4,2023-06-06,0.07,True,0.3184673366834171
P1078,MotionLab Elite Daypack,Sports,Outdoor,MotionLab,142.41,75.39,4.7,2023-06-23,0.07,True,0.4706130187486834
P1079,Summit Max Massage Roller,Sports,Recovery,Summit,149.78,73.38,4.4,2023-01-12,0.07,True,0.5100814527974362
P1080,MotionLab Go Massage Roller,Sports,Recovery,MotionLab,29.25,18.03,4.1,2023-04-04,0.07,True,0.38358974358974357
P1081,TrailArc Prime Water Bottle,Sports,Hydration,TrailArc,92.79,43.31,4.6,2023-05-26,0.07,True,0.5332471171462442
P1082,Summit Pro Daypack,Sports,Outdoor,Summit,22.6,13.3,3.9,2023-09-03,0.07,True,0.4115044247787611
P1083,CoreOne Essential Daypack,Sports,Outdoor,CoreOne,88.35,59.28,4.5,2024-07-06,0.07,True,0.3290322580645161
P1084,TrailArc Lite Daypack,Sports,Outdoor,TrailArc,42.97,19.16,4.2,2023-11-17,0.07,True,0.5541075168722365
P1085,Summit Flex Massage Roller,Sports,Recovery,Summit,22.11,10.36,4.1,2024-01-14,0.07,True,0.5314337403889643
P1086,MotionLab Core Yoga Mat,Sports,Yoga,MotionLab,89.85,46.36,4.0,2023-06-15,0.07,True,0.4840289371174179
P1087,TrailArc Go Water Bottle,Sports,Hydration,TrailArc,118.53,74.53,4.4,2025-01-08,0.07,True,0.37121403864000674
P1088,TrailArc Pro Water Bottle,Sports,Hydration,TrailArc,99.21,61.57,4.4,2024-07-04,0.07,True,0.3793972381816349
